enviroment, gi, w, q, x, y
Environment.FREE_SPACE,8e-06,16000000.0,64,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999992, 0.999964, 0.999856, 0.998826, 0.996302, 0.987594, 0.974326, 0.950282, 0.85239, 0.756748, 0.600794, 0.485778, 0.365804]"

Environment.FREE_SPACE,8e-06,16000000.0,256,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.99999, 0.999966, 0.999876, 0.999598, 0.99891, 0.99291, 0.982462, 0.951882, 0.913588, 0.854766, 0.678116, 0.544224, 0.370206, 0.268256, 0.176162]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,1000000.0,2,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.999926, 0.999404, 0.994314, 0.981634, 0.946936, 0.77133, 0.570092, 0.291366, 0.15727, 0.055162, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,1000000.0,4,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.999996, 0.999598, 0.997388, 0.98183, 0.950632, 0.88351, 0.63187, 0.42918, 0.20003, 0.099732, 0.032314, 0.0, 0.0, 0.0, 0.0, 0.0]"

Environment.URBAN_AREA_CELLULAR_RADIO,4e-06,1000000.0,16,"[1, 2, 3, 5, 7, 10, 20, 30, 50, 70, 100, 200, 300, 500, 700, 1000, 2000, 3000, 5000, 7000, 10000]","[1.0, 1.0, 1.0, 0.999996, 0.999986, 0.999852, 0.996434, 0.983924, 0.928856, 0.848122, 0.71933, 0.400532, 0.232806, 0.089412, 0.03948, 0.011108, 0.0, 0.0, 0.0, 0.0, 0.0]"

